season,season_start,season_end,wildcard_selection_start,wildcard_selection_end,postseason_start,postseason_end,postseason_gap_start,postseason_gap_end,election_start,election_end
11,2021-03-01 16:00:10+00:00,2021-03-05 20:33:30+00:00,2021-03-05 21:01:00+00:00,2021-03-05 21:01:00+00:00,2021-03-05 22:01:01+00:00,2021-03-06 23:25:43+00:00,2021-03-06 05:00:00+00:00,2021-03-06 15:00:00+00:00,2021-03-07 19:01:00+00:00,2021-03-07 19:01:05+00:00
12,2021-03-08 16:00:00+00:00,2021-03-12 20:34:37+00:00,2021-03-12 21:01:00+00:00,2021-03-12 21:01:00+00:00,2021-03-12 22:01:01+00:00,2021-03-13 22:28:24+00:00,2021-03-13 06:00:00+00:00,2021-03-13 15:00:00+00:00,2021-03-14 18:01:00+00:00,2021-03-14 18:01:07+00:00
13,2021-03-15 15:00:00+00:00,2021-03-19 19:28:20+00:00,2021-03-19 20:01:00+00:00,2021-03-19 20:01:00+00:00,2021-03-19 21:01:01+00:00,2021-03-20 23:24:48+00:00,2021-03-20 05:00:00+00:00,2021-03-20 15:00:00+00:00,2021-03-21 18:01:00+00:00,2021-03-21 18:48:25+00:00
14,2021-04-05 15:00:01+00:00,2021-04-09 19:32:07+00:00,2021-04-09 20:01:00+00:00,2021-04-09 20:01:00+00:00,2021-04-09 21:21:36+00:00,2021-04-10 22:23:02+00:00,2021-04-10 04:00:00+00:00,2021-04-10 15:00:00+00:00,2021-04-11 18:16:00+00:00,2021-04-11 18:16:46+00:00
15,2021-04-12 15:00:01+00:00,2021-04-16 21:30:06+00:00,2021-04-16 22:01:00+00:00,2021-04-16 22:01:00+00:00,2021-04-16 23:01:02+00:00,2021-04-17 23:31:30+00:00,2021-04-17 07:00:00+00:00,2021-04-17 15:00:00+00:00,2021-04-18 18:01:00+00:00,2021-04-18 18:01:47+00:00
16,2021-04-19 15:00:01+00:00,2021-04-23 19:34:30+00:00,2021-04-23 20:01:00+00:00,2021-04-23 20:01:01+00:00,2021-04-23 21:01:02+00:00,2021-04-24 22:27:44+00:00,2021-04-24 03:00:00+00:00,2021-04-24 15:00:00+00:00,2021-04-25 18:01:00+00:00,2021-04-25 18:01:49+00:00
17,2021-05-10 15:00:01+00:00,2021-05-14 20:32:04+00:00,2021-05-14 21:01:00+00:00,2021-05-14 21:01:01+00:00,2021-05-14 22:01:02+00:00,2021-05-15 22:22:48+00:00,2021-05-15 06:00:00+00:00,2021-05-15 15:00:00+00:00,2021-05-16 18:01:00+00:00,2021-05-16 18:01:06+00:00
18,2021-05-17 15:00:01+00:00,2021-05-21 19:39:41+00:00,2021-05-21 20:01:00+00:00,2021-05-21 20:01:01+00:00,2021-05-21 21:01:02+00:00,2021-05-23 00:28:14+00:00,2021-05-22 04:00:00+00:00,2021-05-22 15:00:00+00:00,2021-05-23 18:01:00+00:00,2021-05-23 18:01:10+00:00
19,2021-06-14 15:00:32+00:00,2021-06-18 19:37:32+00:00,2021-06-18 20:01:00+00:00,2021-06-18 20:01:01+00:00,2021-06-18 21:01:06+00:00,2021-06-19 23:32:27+00:00,2021-06-19 05:00:00+00:00,2021-06-19 15:00:00+00:00,2021-06-20 18:01:00+00:00,2021-06-20 18:01:11+00:00
20,2021-06-21 15:00:01+00:00,2021-06-25 20:34:04+00:00,2021-06-25 21:01:00+00:00,2021-06-25 21:01:01+00:00,2021-06-25 22:00:01+00:00,2021-06-26 22:19:37+00:00,2021-06-26 06:00:00+00:00,2021-06-26 15:00:00+00:00,2021-06-27 18:01:00+00:00,2021-06-27 18:01:08+00:00
21,2021-06-28 15:00:00+00:00,2021-07-02 20:32:36+00:00,2021-07-02 21:01:01+00:00,2021-07-02 21:01:02+00:00,2021-07-02 22:01:09+00:00,2021-07-03 23:24:42+00:00,2021-07-03 06:00:00+00:00,2021-07-03 15:00:00+00:00,2021-07-04 18:01:00+00:00,2021-07-04 18:01:11+00:00
22,2021-07-19 15:00:00+00:00,2021-07-23 19:31:49+00:00,2021-07-23 20:01:00+00:00,2021-07-23 20:01:01+00:00,2021-07-23 21:01:07+00:00,2021-07-25 03:40:43+00:00,2021-07-24 06:00:00+00:00,2021-07-24 15:00:00+00:00,2021-07-25 18:01:00+00:00,2021-07-25 18:01:05+00:00
23,2021-07-26 15:00:00+00:00,2021-07-30 20:00:08+00:00,,,,,,,,
